TeamID,Name,Strength,WinRate,Strategy,Formation,Coach,AvgScore,AvgConcede
1,강원 FC,70,0.30,중앙 압박,4-3-3,이영표,1.21,1.68
2,광주 FC,78,0.47,중앙 플레이,4-2-3-1,이정효,1.42,1.42
3,대구 FC,62,0.28,빠른 역습,3-4-3,최원권,1.05,1.84
4,대전 하나 시티즌,82,0.52,측면 활용,3-4-3,이민성,1.58,1.42
5,FC 서울,85,0.57,공격+수비 밸런스,4-3-3,안익수,1.58,1.34
6,수원 삼성,65,0.30,수비 반격,4-4-2,김병수,1.11,1.79
7,수원 FC,68,0.34,롱볼 중심,4-2-3-1,이병근,1.26,1.74
8,울산 현대,95,0.71,공격 중심,4-2-3-1,홍명보,1.94,1.05
9,인천 유나이티드,76,0.45,수비적인 전술,5-4-1,조성환,1.26,1.37
10,전북 현대,88,0.60,수비 안정화,4-4-2,댄 페트레스쿠,1.63,1.18
11,제주 유나이티드,80,0.50,포지셔닝 기반,4-4-2,남기일,1.47,1.37
12,포항 스틸러스,90,0.65,빠른 역습,4-1-4-1,김기동,1.68,1.11
